id,dep_delayed_15min
0,0.024220437504141098
1,0.04465751620611367
2,0.05687823031619599
3,0.23255780247295735
4,0.2695146395882113
5,0.08503664487667527
6,0.04513203582318882
7,0.1557051161471991
8,0.16773073726170326
9,0.2569658696261856
10,0.3642690802462219
11,0.2772518060190775
12,0.08831399355339305
13,0.1548497058448021
14,0.05431943566116055
15,0.2745398666096572
16,0.08438570616346239
17,0.25872186287300586
18,0.4720497145011527
19,0.006796155466712877
20,0.19486863943426383
21,0.11758533326333633
22,0.25977491192877017
23,0.12151001007338326
24,0.14316286987147017
25,0.2765722433477574
26,0.006498461273601286
27,0.03960995794099382
28,0.2368359855857353
29,0.15043362974462307
30,0.07655647409819831
31,0.36628644790087656
32,0.05132495404187617
33,0.1929583645590174
34,0.6061372033208425
35,0.2859271417043652
36,0.20194905951902045
37,0.10801721491669743
38,0.0766727375290593
39,0.1622901803324273
40,0.1404827373202525
41,0.1324309559142718
42,0.1554534690693113
43,0.24161475901610918
44,0.11853682913391127
45,0.431093291479345
46,0.004169972204661901
47,0.1432059655570972
48,0.8054740638338596
49,0.10746354187073072
50,0.5374021406836985
51,0.033807780941954205
52,0.2565365896643059
53,0.5265176616230539
54,0.23929545698071486
55,0.09931198426168142
56,0.2529342063450662
57,0.32991696864810255
58,0.07842901836986554
59,0.23197955288637223
60,0.32383570028152686
61,0.08670779034752613
62,0.12392388591063229
63,0.2527145923476405
64,0.15463702228161189
65,0.1581386649263417
66,0.02056276684681468
67,0.08740931544902038
68,0.0970551494274336
69,0.15615822555492453
70,0.013166924632504677
71,0.25390980435214244
72,0.3626434773195416
73,0.2657822969515709
74,0.3620841401541046
75,0.2441253173944402
76,0.1082907469852789
77,0.2358533080522703
78,0.07372961485634782
79,0.11899123409335124
80,0.16022432866328645
81,0.2317964760447485
82,0.08267882643068773
83,0.12060131844770289
84,0.11275299521107318
85,0.0037760157764021936
86,0.08463598253926533
87,0.14901279394770517
88,0.301536515891208
89,0.4092005647939696
90,0.1838872306547265
91,0.30350889740400194
92,0.13107978312774368
93,0.11774636514030551
94,0.1853924583180433
95,0.13457270940074875
96,0.2795523637736704
97,0.080582662629444
98,0.1846176377498699
99,0.3472849488589093
100,0.14122365652553473
101,0.1698607277835648
102,0.10304816220431591
103,0.23339341294411298
104,0.004651471000434491
105,0.09788337064430781
106,0.21520113072130323
107,0.034704286678831686
108,0.0836292632151657
109,0.15008124388649743
110,0.17291771781698118
111,0.15249447081481113
112,0.8548306736509048
113,0.01872012930465946
114,0.03556265829855664
115,0.10985334942010488
116,0.0853208995360734
117,0.7178258943831075
118,0.08235418057612373
119,0.1490385395370437
120,0.350133152219515
121,0.3191049547017748
122,0.18068607066112638
123,0.19301535505303735
124,0.1623808693996238
125,0.029884762087792737
126,0.05405750243462101
127,0.03456594281850537
128,0.05132025523830117
129,0.4896565046830857
130,0.24424502216906785
131,0.1520584316279245
132,0.021667398139151948
133,0.14610093241211733
134,0.0347002588986139
135,0.2050270625460001
136,0.23865563379775176
137,0.0727413455253779
138,0.015152595774174929
139,0.05401510806644814
140,0.30639191308963126
141,0.19693813338267138
142,0.467626074033365
143,0.23996821036449276
144,0.1891764049012158
145,0.2382254585677025
146,0.18590844597346928
147,0.18596680858722633
148,0.09239873809554792
149,0.4367181796251122
